,price,date,bathrooms,bedrooms,sqft_living,sqft_lot,floors,condition,grade,yr_built,yr_renovated,location
5388,245000,5/29/14,2.5,3,1452,1298,2,Excellent,Above Average,2000,0,DC
5389,364900,1/30/15,2.5,3,1496,2214,3,Very Good,Above Average,2010,0,DC
5390,399900,3/13/15,2.5,3,1496,2138,3,Very Good,Above Average,2010,0,DC
5391,385750,3/13/15,2.5,3,1496,2338,3,Very Good,Above Average,2010,0,DC
5392,74000,12/31/14,1,2,986,1870,2,Average,Average,1949,0,DC
5393,279999,2/4/15,3,4,1224,1463,2,Excellent,Above Average,2001,0,DC
5394,281505,5/13/15,2.5,3,1684,1112,3,Good,Above Average,2000,0,DC
5397,299000,7/11/14,4,4,2720,3360,2,Average,Average,1942,2003,DC
5398,254900,12/8/14,2,3,1064,3100,2,Good,Average,1941,2017,DC
5400,240000,5/7/14,2,3,1332,3125,2,Good,Average,1951,2014,DC
5401,100000,5/1/14,2,3,1024,1411,2,Good,Average,1947,2014,DC
5402,92500,5/29/14,1,3,800,1537,2,Average,Average,1947,0,DC
5403,230000,12/22/14,1,2,800,2417,2,Good,Average,1947,2014,DC
5407,191890,2/23/15,1.5,2,1403,4300,1.5,Average,Above Average,1937,0,DC
5408,421270,4/17/15,2,5,1080,4830,1.25,Good,Above Average,1940,2015,DC
5410,391363,5/20/15,2.5,3,1496,2452,3,Very Good,Above Average,2010,0,DC
5413,374900,4/13/15,2.5,3,1496,2239,3,Very Good,Above Average,2010,0,DC
5414,364900,4/13/15,2.5,3,1496,2132,3,Very Good,Above Average,2010,0,DC
5415,172900,9/19/14,1,4,1506,5317,2,Average,Above Average,1932,0,DC
5416,310000,5/30/14,3.5,3,1192,1971,2,Good,Above Average,1910,2014,DC
5417,443500,8/25/14,5,9,3185,4676,2,Average,Average,1953,2012,DC
5419,130000,5/26/15,1,2,1150,5838,1.5,Average,Above Average,1930,2010,DC
5421,255000,5/12/15,2,3,1152,3601,2,Average,Average,1946,1990,DC
5422,290000,9/19/14,4,4,2508,3548,2,Average,Above Average,1942,0,DC
5423,143000,6/19/14,4,8,2812,3517,2,Good,Average,1943,2016,DC
5424,345000,2/26/15,3.5,4,1680,5250,2,Good,Above Average,2014,0,DC
5426,110000,8/15/14,1,2,800,1894,2,Average,Average,1947,0,DC
5427,257000,10/2/14,2,3,1152,3270,2,Good,Average,1946,2014,DC
5428,175000,6/18/14,2,3,1109,4723,2,Average,Average,1945,2014,DC
5429,280000,4/28/15,3,3,996,2161,2,Good,Average,1941,2015,DC
5430,175000,5/21/14,1,3,800,2080,2,Average,Average,1941,2013,DC
5431,775000,8/8/14,3,4,1913,27945,1,Good,Above Average,1958,2018,DC
5433,425000,12/30/14,3,5,2565,8400,1.25,Good,Above Average,1955,2015,DC
5436,252000,12/3/14,2.5,3,1088,1760,2,Good,Average,1951,2014,DC
5438,250000,4/9/15,1.5,3,1088,2188,2,Good,Average,1951,2015,DC
5439,210000,5/21/14,1,3,1795,2130,2,Average,Average,1905,0,DC
5440,399999,5/22/14,2,2,962,4996,2,Good,Average,1935,2014,DC
5441,450000,10/23/14,4,4,2508,3192,2,Good,Average,1943,2014,DC
5442,255000,6/25/14,2.5,3,1364,2550,2,Average,Above Average,1918,0,DC
5443,304000,7/28/14,3,6,1560,8250,2,Average,Above Average,1916,2015,DC
5445,549900,10/17/14,3.5,4,2383,6325,2,Good,Above Average,1912,2013,DC
5446,300000,10/31/14,1,2,923,7231,1.25,Fair,Average,1902,0,DC
5449,350000,3/3/15,3.5,4,1382,3000,2,Very Good,Above Average,2015,0,DC
5450,350000,3/4/15,3.5,4,1390,3000,2,Very Good,Above Average,2015,0,DC
5451,255000,2/12/15,3.5,3,1588,640,3,Good,Above Average,2007,0,DC
5452,207500,10/27/14,2,2,832,1840,2,Good,Average,1950,2014,DC
5456,275000,10/24/14,2,3,1216,3163,2,Good,Above Average,1941,2016,DC
5457,290000,4/29/15,2,3,1284,2475,2,Good,Above Average,1941,2017,DC
5458,180000,4/10/15,1.5,2,918,2428,2,Average,Average,1942,0,DC
5459,293000,9/12/14,4,4,2720,4292,2,Good,Average,1943,2014,DC
5460,350000,10/29/14,4,4,2800,4300,2,Good,Average,1944,2011,DC
5461,335000,7/9/14,4,4,2800,4549,2,Good,Average,1944,0,DC
5462,181950,6/26/14,1,2,864,2288,2,Good,Average,1942,0,DC
5463,220000,9/24/14,3,6,2556,3640,2,Average,Average,1943,0,DC
5464,320000,3/9/15,4,4,2556,3640,2,Good,Average,1943,2016,DC
5465,332000,12/12/14,4,4,2800,4992,2,Average,Average,1944,0,DC
5467,217500,4/17/15,2,3,1200,2165,2,Average,Above Average,1980,0,DC
5468,267000,2/11/15,3,3,1284,2475,2,Average,Above Average,1941,2010,DC
5469,473500,4/8/15,6,4,2574,4716,2,Good,Average,1942,2012,DC
5470,200000,9/30/14,1,3,1024,2770,2,Good,Average,1949,2014,DC
5471,160000,11/21/14,3,7,1440,3125,2,Good,Average,1947,2000,DC
5472,54951,1/2/15,1,2,800,2011,2,Good,Average,1949,2012,DC
5473,280000,1/22/15,2,3,1024,2690,2,Good,Average,1947,2014,DC
5474,190000,10/7/14,2,2,800,2114,2,Good,Average,1941,2014,DC
5475,113500,12/3/14,2.5,4,832,1280,2,Average,Average,1941,2006,DC
5477,233500,6/17/14,3,3,1330,2750,2,Average,Average,1951,0,DC
5478,245000,4/24/15,3,3,1995,2750,3,Average,Average,1951,0,DC
5479,239000,8/5/14,2.5,3,1088,2244,2,Good,Average,1953,2010,DC
5481,140000,10/16/14,1,3,855,9094,1,Average,Average,1923,2015,DC
5482,250000,1/2/15,2.5,4,1088,1760,2,Good,Average,1953,2014,DC
5483,265000,2/26/15,2,3,1176,2750,2,Good,Average,1945,2014,DC
5484,250000,4/21/15,2.5,3,1376,1935,2,Excellent,Above Average,2002,0,DC
5486,252000,7/17/14,2,2,1008,1890,2,Very Good,Average,1940,2013,DC
5488,110000,5/9/14,1,3,1260,2625,2,Average,Average,1942,0,DC
5489,140000,3/9/15,1,4,1260,3675,2,Good,Average,1946,2015,DC
5490,66977,7/24/14,2.5,3,1408,2202,2,Average,Above Average,2001,0,DC
5492,230000,5/1/14,1,2,800,2012,2,Good,Average,1947,2014,DC
5493,229900,5/7/14,2,2,800,2012,2,Very Good,Average,1947,2014,DC
5494,215000,10/15/14,2.5,3,1980,3538,2,Good,Average,1923,2001,DC
5496,160000,9/3/14,3,3,1224,1530,2,Good,Average,1948,2015,DC
5497,280000,11/10/14,2,3,1008,3683,2,Good,Average,1940,2014,DC
5498,142660,1/29/15,2,3,1184,2272,2,Average,Average,1951,0,DC
5499,259000,10/28/14,2.5,3,1360,3016,2,Good,Above Average,1979,2014,DC
5500,283000,5/15/15,3,3,1010,1734,2,Good,Average,1911,2014,DC
5501,290000,5/7/14,4,4,2442,3735,2,Average,Average,1952,0,DC
5503,200000,8/12/14,2,3,1386,3301,2,Good,Average,1910,2008,DC
5504,355000,4/7/15,2,4,1917,3301,2,Good,Above Average,1915,2015,DC
5506,4739000,10/24/14,4,8,3456,9379,2,Very Good,Average,1942,2017,DC
5507,260000,3/11/15,2,4,1152,4134,2,Good,Average,1945,2015,DC
5508,200000,9/4/14,2,4,1548,3060,2,Average,Average,1947,1979,DC
5509,80000,9/11/14,1,2,832,1528,2,Average,Average,1950,0,DC
5510,242500,4/29/15,1.5,2,832,1528,2,Very Good,Average,1950,2015,DC
5511,227000,5/27/14,2.5,3,912,1733,2,Good,Average,1911,2007,DC
5512,346755,10/15/14,1,1,1715.277034,374,2,Missing,Missing,2004,0,DC
5513,425000,10/17/14,1,1,1715.277034,492,2,Missing,Missing,2004,0,DC
5515,402500,7/25/14,1,1,1715.277034,492,2,Missing,Missing,2004,0,DC
5516,289000,5/22/15,1,1,1715.277034,495,2,Missing,Missing,1967,0,DC
5517,279000,8/4/14,1,1,1715.277034,668,2,Missing,Missing,1967,0,DC
5518,67000,4/27/15,1.5,2,1715.277034,854,2,Missing,Missing,1954,2007,DC
5519,65625,5/28/15,1,2,1715.277034,1181,2,Missing,Missing,1965,2006,DC
5520,74550,5/22/15,2,2,1715.277034,589,2,Missing,Missing,1955,2005,DC
5521,450000,5/18/15,1,2,1715.277034,742,2,Missing,Missing,1942,2008,DC
5522,450000,5/18/15,1,2,1715.277034,742,2,Missing,Missing,1942,2008,DC
5523,209500,8/28/14,1,2,1715.277034,724,2,Missing,Missing,1947,2007,DC
5526,50000,2/5/15,1,1,1715.277034,889,2,Missing,Missing,1965,0,DC
5527,203542,5/19/15,2,2,1715.277034,1658,2,Missing,Missing,1941,2014,DC
5528,45000,9/23/14,1,1,1715.277034,1266,2,Missing,Missing,1964,1987,DC
5529,450000,5/18/15,1,2,1715.277034,742,2,Missing,Missing,1942,2008,DC
5530,450000,5/18/15,1,2,1715.277034,742,2,Missing,Missing,1942,2008,DC
5531,125000,10/30/14,2,2,1715.277034,589,2,Missing,Missing,1955,2005,DC
5532,57143,10/7/14,1,2,1715.277034,883,2,Missing,Missing,1852,2007,DC
5533,42500,1/20/15,1,2,1715.277034,1357,2,Missing,Missing,1949,1991,DC
5534,62000,8/4/14,2,2,1715.277034,589,2,Missing,Missing,1955,2005,DC
5536,185000,2/19/15,3,3,1715.277034,3088,2,Missing,Missing,1978,0,DC
5537,68900,2/23/15,1,2,1715.277034,1214,2,Missing,Missing,1964,1987,DC
5539,224733,11/6/14,1,2,1715.277034,1496,2,Missing,Missing,1949,2006,DC
5540,62000,3/19/15,1,2,1715.277034,1453,2,Missing,Missing,1949,2006,DC
5542,62000,5/7/15,1,2,1715.277034,1089,2,Missing,Missing,1950,2007,DC
5543,48000,1/6/15,1,1,1715.277034,1045,2,Missing,Missing,1965,2006,DC
5544,60000,9/12/14,1,2,1715.277034,1181,2,Missing,Missing,1965,2006,DC
5545,81000,8/8/14,1,2,1715.277034,1181,2,Missing,Missing,1965,2006,DC
5546,55000,1/21/15,1,1,1715.277034,1181,2,Missing,Missing,1965,2006,DC
5548,1525000,5/14/14,1,2,1715.277034,1212,2,Missing,Missing,1949,2009,DC
5549,1525000,5/14/14,1,2,1715.277034,1303,2,Missing,Missing,1949,2009,DC
5550,1525000,5/14/14,1,1,1715.277034,948,2,Missing,Missing,1949,2009,DC
5551,1525000,5/14/14,1,1,1715.277034,920,2,Missing,Missing,1949,2009,DC
5552,1525000,5/14/14,1,1,1715.277034,948,2,Missing,Missing,1949,2009,DC
5553,1525000,5/14/14,1,2,1715.277034,1292,2,Missing,Missing,1949,2009,DC
5554,1525000,5/14/14,1,1,1715.277034,920,2,Missing,Missing,1949,2009,DC
5555,1525000,5/14/14,1,2,1715.277034,1303,2,Missing,Missing,1949,2009,DC
5556,1525000,5/14/14,1,1,1715.277034,948,2,Missing,Missing,1949,2009,DC
5557,1525000,5/14/14,1,2,1715.277034,1292,2,Missing,Missing,1949,2009,DC
5558,1525000,5/14/14,1,1,1715.277034,452,2,Missing,Missing,1949,2009,DC
5559,650000,3/11/15,2.5,2,1715.277034,472,2,Missing,Missing,1971,0,DC
5560,482000,6/17/14,1,2,1715.277034,726,2,Missing,Missing,1955,2005,DC
5562,610000,9/19/14,2.5,2,1715.277034,601,2,Missing,Missing,1923,2014,DC
5563,715000,7/11/14,2.5,2,1715.277034,658,2,Missing,Missing,1923,2014,DC
5564,490000,6/16/14,2,2,1715.277034,421,2,Missing,Missing,2009,0,DC
5566,349900,5/7/15,1,1,1715.277034,338,2,Missing,Missing,1926,2014,DC
5567,369900,3/4/15,1,1,1715.277034,353,2,Missing,Missing,1926,2014,DC
5568,449900,2/24/15,1,1,1715.277034,407,2,Missing,Missing,1926,2014,DC
5569,292000,8/26/14,1,1,1715.277034,539,2,Missing,Missing,1960,1978,DC
5572,333000,8/4/14,1,2,1715.277034,750,2,Missing,Missing,1959,0,DC
5573,269000,5/5/14,1,1,1715.277034,646,2,Missing,Missing,1956,1980,DC
5574,259000,10/21/14,1,1,1715.277034,656,2,Missing,Missing,1956,1980,DC
5575,390000,4/30/15,1,2,1715.277034,947,2,Missing,Missing,1956,1980,DC
5576,377500,9/11/14,1,2,1715.277034,937,2,Missing,Missing,1956,1980,DC
5577,609000,6/16/14,2,3,1715.277034,1101,2,Missing,Missing,1960,1978,DC
5578,530000,7/9/14,2,2,1715.277034,892,2,Missing,Missing,1960,1978,DC
5579,280000,8/15/14,1,1,1715.277034,585,2,Missing,Missing,1960,1978,DC
5581,1310000,5/30/14,2,2,1715.277034,581,2,Missing,Missing,2007,0,DC
5582,965000,3/19/15,2,2,1715.277034,491,2,Missing,Missing,2007,0,DC
5583,1250000,6/18/14,2,2,1715.277034,625,2,Missing,Missing,2007,0,DC
5584,1475000,9/16/14,2,2,1715.277034,754,2,Missing,Missing,2007,0,DC
5585,1680000,6/13/14,3.5,3,1715.277034,707,2,Missing,Missing,1971,0,DC
5586,1150000,2/9/15,1.5,1,1715.277034,228,2,Missing,Missing,1971,0,DC
5587,1150000,2/9/15,2.5,2,1715.277034,561,2,Missing,Missing,1971,0,DC
5588,642500,3/3/15,2.5,2,1715.277034,1906,2,Missing,Missing,1980,0,DC
5589,227700,10/23/14,1,0,1715.277034,396,2,Missing,Missing,1979,0,DC
5590,410000,12/15/14,1,1,1715.277034,1118,2,Missing,Missing,1979,0,DC
5591,825000,3/27/15,2,2,1715.277034,336,2,Missing,Missing,1980,0,DC
5592,598500,8/19/14,2,2,1715.277034,301,2,Missing,Missing,1980,0,DC
5594,459495,12/29/14,2,1,1715.277034,35,2,Missing,Missing,2007,0,DC
5595,460000,7/11/14,1,1,1715.277034,781,2,Missing,Missing,1979,0,DC
5596,450000,2/4/15,1,1,1715.277034,793,2,Missing,Missing,1979,0,DC
5597,450000,3/10/15,1,1,1715.277034,793,2,Missing,Missing,1979,0,DC
5600,164772,4/6/15,1,1,1715.277034,244,2,Missing,Missing,2010,0,DC
5601,337500,6/25/14,1,1,1715.277034,329,2,Missing,Missing,2010,0,DC
5602,365000,4/28/15,1,1,1715.277034,291,2,Missing,Missing,2010,0,DC
5603,282500,11/3/14,1,1,1715.277034,721,2,Missing,Missing,1960,1979,DC
5604,285000,9/5/14,1,1,1715.277034,734,2,Missing,Missing,1960,1979,DC
5605,1099000,3/20/15,3.5,3,1715.277034,1234,2,Missing,Missing,2014,0,DC
5606,1049900,4/8/15,3,3,1715.277034,1054,2,Missing,Missing,2014,0,DC
5607,550000,2/27/15,2.5,2,1715.277034,1064,2,Missing,Missing,1980,2004,DC
5609,379900,11/10/14,1,1,1715.277034,460,2,Missing,Missing,1980,2004,DC
5610,335000,7/17/14,1,1,1715.277034,460,2,Missing,Missing,1980,2004,DC
5611,422000,5/9/14,1,1,1715.277034,35,2,Missing,Missing,2007,0,DC
5612,515000,5/28/14,2,2,1715.277034,43,2,Missing,Missing,2007,0,DC
5613,349800,5/12/14,1,1,1715.277034,27,2,Missing,Missing,2007,0,DC
5614,380000,6/25/14,2,2,1715.277034,478,2,Missing,Missing,1989,2000,DC
5615,563000,2/2/15,2,2,1715.277034,408,2,Missing,Missing,1988,0,DC
5617,340000,1/8/15,1,1,1715.277034,189,2,Missing,Missing,1988,0,DC
5619,215620,7/30/14,1,0,1715.277034,587,2,Missing,Missing,1956,1980,DC
5620,850000,2/11/15,2,3,1715.277034,985,2,Missing,Missing,1942,0,DC
5622,1150000,12/30/14,2,2,1715.277034,983,2,Missing,Missing,1922,2007,DC
5625,659000,6/18/14,1.5,2,1715.277034,546,2,Missing,Missing,1900,1979,DC
5627,550000,3/23/15,1,2,1715.277034,546,2,Missing,Missing,1900,1979,DC
5628,650000,4/30/15,2,2,1715.277034,546,2,Missing,Missing,1900,1979,DC
5629,462500,11/17/14,2,2,1715.277034,498,2,Missing,Missing,1940,1979,DC
5630,435000,12/23/14,1,2,1715.277034,397,2,Missing,Missing,1940,1979,DC
5632,43500,1/7/15,1,1,1715.277034,1045,2,Missing,Missing,1965,2006,DC
5633,75500,2/24/15,1,3,1715.277034,1290,2,Missing,Missing,1943,2007,DC
5634,35000,1/8/15,1,3,1715.277034,1290,2,Missing,Missing,1943,2007,DC
5635,35000,4/7/15,1,2,1715.277034,860,2,Missing,Missing,1943,2007,DC
5636,75500,2/24/15,1,2,1715.277034,860,2,Missing,Missing,1943,2007,DC
5637,97030,2/3/15,1.5,2,1715.277034,990,2,Missing,Missing,1968,2003,DC
5638,79898,12/12/14,1.5,2,1715.277034,990,2,Missing,Missing,1968,2003,DC
5639,399999,6/30/14,2.5,3,1715.277034,1307,2,Missing,Missing,2008,0,DC
5640,370000,9/19/14,2.5,3,1715.277034,1307,2,Missing,Missing,2008,0,DC
5641,50000,10/24/14,1,2,1715.277034,996,2,Missing,Missing,2002,0,DC
5642,181000,11/13/14,2.5,3,1715.277034,1307,2,Missing,Missing,2008,0,DC
5643,203000,9/3/14,2.5,3,1715.277034,1307,2,Missing,Missing,2008,0,DC
5644,51000,11/21/14,1,2,1715.277034,998,2,Missing,Missing,1962,2007,DC
5645,52000,1/30/15,1,2,1715.277034,1010,2,Missing,Missing,1962,2007,DC
5646,82500,1/27/15,1,4,1715.277034,924,2,Missing,Missing,1964,2006,DC
5647,85000,4/21/15,1,1,1715.277034,1380,2,Missing,Missing,1940,1940,DC
5648,95000,4/17/15,1,2,1715.277034,1812,2,Missing,Missing,1940,1975,DC
5649,32000,6/19/14,1,2,1715.277034,1037,2,Missing,Missing,1963,1996,DC
5651,39000,6/25/14,1,1,1715.277034,1102,2,Missing,Missing,2004,0,DC
5652,170000,7/14/14,2,3,1715.277034,1450,2,Missing,Missing,1951,2008,DC
5653,192000,12/16/14,2,3,1715.277034,1468,2,Missing,Missing,1951,2008,DC
5654,192000,6/27/14,2,3,1715.277034,1468,2,Missing,Missing,1951,2008,DC
5655,85870,6/11/14,1,1,1715.277034,1147,2,Missing,Missing,1940,1975,DC
5656,82750,5/13/15,1,1,1715.277034,1147,2,Missing,Missing,1940,1975,DC
5657,305000,9/19/14,1,1,1715.277034,1015,2,Missing,Missing,1937,0,DC
5658,256500,6/16/14,1,1,1715.277034,539,2,Missing,Missing,1960,1978,DC
5659,200000,1/8/15,1,1,1715.277034,334,2,Missing,Missing,1928,1986,DC
5660,300000,5/12/15,1,1,1715.277034,721,2,Missing,Missing,1954,1982,DC
5661,390000,9/16/14,2,2,1715.277034,286,2,Missing,Missing,1915,1952,DC
5662,729000,12/19/14,2.5,2,1715.277034,1101,2,Missing,Missing,1977,0,DC
5664,720000,10/15/14,2.5,2,1715.277034,1101,2,Missing,Missing,1977,0,DC
5665,711000,6/13/14,2.5,2,1715.277034,1101,2,Missing,Missing,1977,0,DC
5669,158500,5/15/15,1,1,1715.277034,406,2,Missing,Missing,1954,2004,DC
5670,171000,7/15/14,1,1,1715.277034,305,2,Missing,Missing,1900,2014,DC
5671,171000,8/27/14,1,1,1715.277034,312,2,Missing,Missing,1900,2014,DC
5672,171000,8/27/14,1,1,1715.277034,305,2,Missing,Missing,1900,2014,DC
5673,254900,6/23/14,1,1,1715.277034,316,2,Missing,Missing,1900,2014,DC
5674,364900,5/22/14,1,2,1715.277034,504,2,Missing,Missing,1900,2014,DC
5675,599000,4/20/15,3.5,3,1715.277034,1434,2,Missing,Missing,2013,0,DC
5676,549650,11/24/14,2,3,1715.277034,1384,2,Missing,Missing,2014,0,DC
5677,569750,12/3/14,2,3,1715.277034,1384,2,Missing,Missing,2014,0,DC
5678,571400,11/20/14,2,3,1715.277034,1384,2,Missing,Missing,2014,0,DC
5679,609000,11/26/14,2,3,1715.277034,1384,2,Missing,Missing,2014,0,DC
5680,524900,4/3/15,2.5,2,1715.277034,878,2,Missing,Missing,1911,2015,DC
5681,599000,4/10/15,2.5,3,1715.277034,878,2,Missing,Missing,1911,2015,DC
5682,230000,11/18/14,1,1,1715.277034,861,2,Missing,Missing,1937,2007,DC
5683,280000,9/16/14,1,1,1715.277034,1401,2,Missing,Missing,1937,2014,DC
5684,289900,8/28/14,1,2,1715.277034,1401,2,Missing,Missing,1937,2014,DC
5685,89000,6/6/14,1,1,1715.277034,662,2,Missing,Missing,1951,0,DC
5686,140000,7/21/14,1,1,1715.277034,662,2,Missing,Missing,1951,0,DC
5688,311000,5/28/15,2.5,2,1715.277034,2440,2,Missing,Missing,1981,0,DC
5689,231900,5/27/14,1.5,2,1715.277034,2662,2,Missing,Missing,1981,0,DC
5690,301000,11/14/14,2.5,2,1715.277034,2440,2,Missing,Missing,1981,0,DC
5692,424900,4/21/15,3.5,3,1715.277034,2795,2,Missing,Missing,1981,0,DC
5693,425000,8/7/14,3.5,3,1715.277034,2795,2,Missing,Missing,1981,0,DC
5694,324900,5/18/15,1,1,1715.277034,179,2,Missing,Missing,2014,0,DC
5695,379000,5/19/15,1,1,1715.277034,205,2,Missing,Missing,2014,0,DC
5696,140000,9/8/14,1,2,1715.277034,664,2,Missing,Missing,1926,2000,DC
5697,183000,1/23/15,1,2,1715.277034,358,2,Missing,Missing,1900,0,DC
5698,305000,10/28/14,2,2,1715.277034,471,2,Missing,Missing,1936,2014,DC
5699,299000,2/27/15,2,2,1715.277034,471,2,Missing,Missing,1936,2014,DC
5700,317500,11/19/14,2,2,1715.277034,471,2,Missing,Missing,1936,2014,DC
5702,524900,8/5/14,2.5,2,1715.277034,954,2,Missing,Missing,1931,2014,DC
5703,524900,7/22/14,2.5,3,1715.277034,999,2,Missing,Missing,1931,2014,DC
5704,510000,8/29/14,2,2,1715.277034,847,2,Missing,Missing,1931,2014,DC
5705,460000,7/15/14,2,2,1715.277034,883,2,Missing,Missing,1931,2014,DC
5706,500000,7/15/14,2,2,1715.277034,883,2,Missing,Missing,1931,2014,DC
5707,490000,7/16/14,2,2,1715.277034,847,2,Missing,Missing,1931,2014,DC
5708,500000,7/16/14,2,2,1715.277034,883,2,Missing,Missing,1931,2014,DC
5709,510000,7/22/14,2,2,1715.277034,883,2,Missing,Missing,1931,2014,DC
5710,549000,7/22/14,2,2,1715.277034,933,2,Missing,Missing,1931,2014,DC
5711,549000,7/22/14,2,2,1715.277034,989,2,Missing,Missing,1931,2014,DC
5712,349900,5/4/15,1,1,1715.277034,205,2,Missing,Missing,2014,0,DC
5713,354900,5/1/15,1,1,1715.277034,205,2,Missing,Missing,2014,0,DC
5714,310000,1/23/15,2.5,2,1715.277034,3112,2,Missing,Missing,1981,0,DC
5715,525000,1/29/15,2,2,1715.277034,847,2,Missing,Missing,1920,2014,DC
5716,580000,1/27/15,2,2,1715.277034,847,2,Missing,Missing,1920,2014,DC
5717,309000,7/1/14,1,1,1715.277034,339,2,Missing,Missing,1957,2010,DC
5719,450000,12/31/14,2.5,3,1715.277034,660,2,Missing,Missing,1910,2014,DC
5720,495000,3/13/15,2.5,3,1715.277034,845,2,Missing,Missing,1910,2014,DC
5721,580000,3/2/15,2.5,3,1715.277034,1135,2,Missing,Missing,1910,2014,DC
5722,515000,3/23/15,2,2,1715.277034,365,2,Missing,Missing,1923,2014,DC
5723,510000,3/16/15,2,2,1715.277034,365,2,Missing,Missing,1923,2014,DC
5724,549000,10/7/14,3,3,1715.277034,841,2,Missing,Missing,1910,2005,DC
5725,177620,5/8/15,1,1,1715.277034,406,2,Missing,Missing,1954,2004,DC
5726,210000,5/21/15,1,1,1715.277034,406,2,Missing,Missing,1954,2004,DC
5727,169900,10/16/14,1,1,1715.277034,326,2,Missing,Missing,2007,0,DC
5728,265000,6/3/14,2,2,1715.277034,471,2,Missing,Missing,2007,0,DC
5729,300000,5/19/14,2,2,1715.277034,417,2,Missing,Missing,2007,0,DC
5730,205000,11/26/14,1,1,1715.277034,564,2,Missing,Missing,1937,2005,DC
5731,275000,7/17/14,1,2,1715.277034,555,2,Missing,Missing,1957,2004,DC
5732,209700,11/24/14,1,2,1715.277034,442,2,Missing,Missing,1900,0,DC
5733,537000,5/22/15,2,2,1715.277034,1319,2,Missing,Missing,2008,0,DC
5734,475000,9/9/14,2,2,1715.277034,1000,2,Missing,Missing,2010,0,DC
5735,460000,8/22/14,2.5,2,1715.277034,593,2,Missing,Missing,1900,2006,DC
5736,499000,9/11/14,2.5,2,1715.277034,593,2,Missing,Missing,1900,2006,DC
5739,300000,9/12/14,1.5,1,1715.277034,237,2,Missing,Missing,1971,0,DC
5740,355000,5/12/14,1.5,1,1715.277034,326,2,Missing,Missing,1971,0,DC
5742,220000,6/2/14,1,0,1715.277034,396,2,Missing,Missing,1979,0,DC
5743,350000,11/10/14,1,1,1715.277034,791,2,Missing,Missing,1979,0,DC
5744,490000,7/1/14,1,1,1715.277034,793,2,Missing,Missing,1979,0,DC
5745,249900,8/28/14,1,1,1715.277034,772,2,Missing,Missing,1967,0,DC
5746,240000,9/26/14,1,1,1715.277034,772,2,Missing,Missing,1967,0,DC
5747,229815,6/13/14,1,1,1715.277034,772,2,Missing,Missing,1967,0,DC
5748,200000,2/24/15,1,0,1715.277034,339,2,Missing,Missing,1960,1978,DC
5749,487500,11/24/14,2,2,1715.277034,737,2,Missing,Missing,1960,1978,DC
5750,635000,5/14/14,1,1,1715.277034,1040,2,Missing,Missing,1906,2003,DC
5752,469000,10/27/14,2,2,1715.277034,1102,2,Missing,Missing,2005,0,DC
5753,1379900,5/18/15,3.5,3,1715.277034,1226,2,Missing,Missing,2014,0,DC
5754,248260,4/3/15,2,2,1715.277034,398,2,Missing,Missing,1900,2007,DC
5755,489900,3/17/15,2,2,1715.277034,530,2,Missing,Missing,1927,2014,DC
5756,633000,12/8/14,1.5,2,1715.277034,10,2,Missing,Missing,1981,0,DC
5757,720000,11/12/14,1.5,2,1715.277034,10,2,Missing,Missing,1981,0,DC
5758,545000,6/23/14,1.5,2,1715.277034,9,2,Missing,Missing,1981,0,DC
5759,600000,6/3/14,1.5,2,1715.277034,8,2,Missing,Missing,1981,0,DC
5760,399999,9/8/14,1,1,1715.277034,8,2,Missing,Missing,1981,0,DC
5763,480000,7/24/14,1.5,2,1715.277034,7,2,Missing,Missing,1981,0,DC
5766,380000,10/23/14,1,1,1715.277034,834,2,Missing,Missing,1979,0,DC
5769,370000,7/16/14,2,2,1715.277034,731,2,Missing,Missing,1951,1972,DC
5770,535000,10/28/14,2,3,1715.277034,1147,2,Missing,Missing,1951,1972,DC
5771,185000,4/23/15,1,0,1715.277034,373,2,Missing,Missing,1951,1972,DC
5772,372000,10/10/14,1,1,1715.277034,297,2,Missing,Missing,2003,0,DC
5773,839999,6/11/14,2.5,2,1715.277034,933,2,Missing,Missing,1900,2014,DC
5774,358000,7/24/14,1,1,1715.277034,265,2,Missing,Missing,1910,1990,DC
5776,457500,5/28/15,2,2,1715.277034,353,2,Missing,Missing,1910,1990,DC
5777,500000,2/25/15,2,2,1715.277034,359,2,Missing,Missing,1910,1990,DC
5778,146000,9/8/14,1,1,1715.277034,508,2,Missing,Missing,1980,2004,DC
5779,349000,10/30/14,1,1,1715.277034,510,2,Missing,Missing,1980,2004,DC
5780,435000,8/19/14,1,1,1715.277034,35,2,Missing,Missing,2007,0,DC
5781,465000,4/29/15,2,1,1715.277034,33,2,Missing,Missing,2007,0,DC
5783,371000,10/7/14,1,1,1715.277034,276,2,Missing,Missing,1928,1982,DC
5784,340000,9/15/14,2,2,1715.277034,1068,2,Missing,Missing,1960,1979,DC
5785,435000,7/23/14,1.5,1,1715.277034,260,2,Missing,Missing,1988,0,DC
5787,353000,12/22/14,1,1,1715.277034,189,2,Missing,Missing,1988,0,DC
5788,360000,7/28/14,1,1,1715.277034,189,2,Missing,Missing,1988,0,DC
5789,649500,4/10/15,2,3,1715.277034,1147,2,Missing,Missing,1951,1972,DC
5790,550000,4/27/15,2,3,1715.277034,1118,2,Missing,Missing,1951,1972,DC
5793,1600000,4/14/15,3,2,1715.277034,2158,2,Missing,Missing,1920,0,DC
