,price,date,bathrooms,bedrooms,sqft_living,sqft_lot,floors,condition,grade,yr_built,yr_renovated,location
208,810000,4/17/15,1.5,3,1392,1009,2,Good,Above Average,1890,2005,DC
209,1039912,3/2/15,3.5,4,1954,1519,2,Good,Good Quality,1890,2013,DC
211,560000,3/19/15,2,2,780,481,2,Very Good,Average,1915,2014,DC
212,700000,3/18/15,2,2,1255,891,2,Good,Above Average,1907,1962,DC
213,750000,8/11/14,1.5,2,1255,891,2,Good,Above Average,1909,2000,DC
214,680000,10/28/14,1.5,2,1264,891,2,Good,Above Average,1907,2000,DC
216,245000,8/14/14,1.5,2,1088,870,2,Average,Average,1941,2003,DC
218,1660000,5/6/15,3.5,4,2444,1425,3,Good,Good Quality,1900,2008,DC
219,2855000,11/17/14,5,4,3565,2000,3,Very Good,Excellent,1885,2012,DC
220,1900000,11/13/14,3.5,5,3223,2000,3,Good,Excellent,1885,2004,DC
221,880000,8/8/14,1.5,3,1698,1500,2,Good,Good Quality,1895,0,DC
222,939000,5/5/15,2.5,3,2430,1800,3,Average,Very Good,1885,2008,DC
224,1025000,10/7/14,2.5,4,1476,928,2,Very Good,Very Good,1890,2008,DC
227,2800000,2/13/15,3.5,4,2591,1910,3,Very Good,Very Good,1890,2014,DC
228,1250000,1/8/15,2,3,1754,2531,2,Good,Very Good,1900,2003,DC
229,1057000,3/30/15,2.5,2,1322,1464,2,Good,Above Average,1890,2009,DC
231,776500,7/30/14,2,2,1395,600,3,Very Good,Good Quality,1900,2014,DC
232,810000,10/15/14,2,3,1395,600,3,Very Good,Good Quality,1900,2010,DC
233,1500000,4/17/15,2.5,4,2042,2030,2,Excellent,Above Average,1900,2015,DC
234,1150000,5/7/15,4.5,6,3069,1121,3,Good,Above Average,1900,2007,DC
235,880000,6/19/14,2,3,1640,1440,2,Good,Above Average,1968,2008,DC
236,735000,8/7/14,3,3,1640,1440,2,Average,Above Average,1967,0,DC
238,1650000,5/27/14,4.5,3,2292,1615,3,Excellent,Very Good,2014,0,DC
239,1800000,7/11/14,3,6,3228,2320,3,Average,Good Quality,1900,2002,DC
240,775000,7/8/14,2.5,2,1120,780,2,Very Good,Above Average,1912,0,DC
242,1160000,9/16/14,2.5,2,1956,1800,2,Very Good,Above Average,1906,2002,DC
243,865000,11/21/14,1.5,2,1496,1200,2,Good,Above Average,1890,2007,DC
246,685000,6/18/14,1.5,2,1404,1359,2,Good,Above Average,1900,2004,DC
247,699900,11/10/14,2,2,878,820,2,Average,Good Quality,1880,2000,DC
248,760000,7/30/14,2,2,1662,1053,2,Good,Above Average,1908,1994,DC
249,865000,8/8/14,3.5,4,1904,1260,2,Good,Above Average,1910,2010,DC
251,1599000,5/23/14,4,4,1658,980,2,Very Good,Very Good,1910,2014,DC
254,680000,7/10/14,3.5,5,2262,2031,2,Average,Good Quality,1916,2007,DC
255,765000,1/26/15,1.5,3,1574,2031,2,Good,Above Average,1916,2009,DC
256,225000,5/21/15,1,3,1324,1440,2,Average,Good Quality,1900,1959,DC
257,380000,9/24/14,2,3,1078,1904,2.5,Average,Average,1968,0,DC
258,595000,1/23/15,1.5,3,1290,1050,2,Average,Above Average,1910,1976,DC
259,895000,5/6/15,2.5,3,1774,978,2.5,Good,Very Good,2000,0,DC
260,812000,8/15/14,2.5,2,1368,969,2.5,Good,Very Good,2000,0,DC
261,781700,3/31/15,2.5,2,1305,784,2.5,Good,Very Good,2001,0,DC
263,625000,5/11/15,1,2,992,1565,2,Average,Average,1900,0,DC
264,1000000,10/1/14,4.5,8,3166,2000,3,Average,Good Quality,1900,2012,DC
265,860000,9/26/14,3.5,3,1585,949,3,Good,Good Quality,1911,2014,DC
266,893100,12/16/14,4.5,4,1746,1148,2.5,Good,Very Good,2001,2006,DC
267,813300,7/9/14,2.5,2,1516,1100,2,Good,Above Average,1890,2008,DC
268,1050000,2/12/15,2.5,4,2502,1036,3,Average,Very Good,1890,2007,DC
269,549000,10/8/14,1,3,990,1022,2,Fair,Average,1890,0,DC
270,1100000,5/15/15,3.5,3,2298,1770,2,Good,Average,1900,2011,DC
271,525000,5/23/14,2,3,1380,1468,2,Good,Above Average,1900,2004,DC
274,738500,1/7/15,3.5,4,1432,745,2,Very Good,Good Quality,1900,2014,DC
275,760000,6/3/14,3.5,3,1396,1056,2,Good,Above Average,1915,2014,DC
276,1390000,10/27/14,3.5,3,2010,1633,3,Good,Very Good,1880,2009,DC
277,900000,7/31/14,2.5,3,1224,1107,2,Good,Above Average,1912,2005,DC
280,875000,1/15/15,3.5,4,1496,894,3,Very Good,Above Average,1906,2014,DC
281,800000,4/17/15,2.5,3,1496,823,2,Very Good,Above Average,1910,2014,DC
282,625000,7/3/14,1.5,3,1516,1150,2,Average,Above Average,1907,2014,DC
285,935000,2/23/15,2.5,3,1662,2511,2,Good,Good Quality,1966,2012,DC
286,582000,8/11/14,1.5,3,1730,1372,2,Good,Good Quality,1900,2014,DC
287,489000,12/11/14,2.5,2,820,852,2,Average,Average,1900,1981,DC
288,1830000,4/7/15,3.5,5,2398,2275,2,Very Good,Very Good,2004,0,DC
289,865000,3/11/15,2.5,3,1412,1565,2,Average,Average,1910,2004,DC
290,900500,7/1/14,3.5,3,1424,1600,2,Good,Above Average,1910,2011,DC
